"","date","time","subject","blockcode","blocknum_and_trialnum","trialcode","primestim","targetstim","correct","latency","exclude_based_on_trial_count"
"262","23.06.22",12:35:27,469672453,"test","2_37","prime_positive",3,3,0,1276,"include"
"263","23.06.22",12:35:27,469672453,"test","2_38","prime_positive",2,61,0,870,"include"
"264","23.06.22",12:35:27,469672453,"test","2_39","prime_positive",4,42,1,416,"include"
"265","23.06.22",12:35:27,469672453,"test","2_40","prime_negative",3,17,1,753,"include"
"266","23.06.22",12:35:27,469672453,"test","2_41","prime_positive",1,56,0,546,"include"
"267","23.06.22",12:35:27,469672453,"test","2_42","prime_positive",3,12,0,2213,"include"
"268","23.06.22",12:35:27,469672453,"test","2_43","prime_positive",4,55,1,399,"include"
"269","23.06.22",12:35:27,469672453,"test","2_44","prime_negative",1,41,1,1017,"include"
"270","23.06.22",12:35:27,469672453,"test","2_45","prime_negative",1,67,1,405,"include"
"271","23.06.22",12:35:27,469672453,"test","2_46","prime_positive",2,35,0,322,"include"
"272","23.06.22",12:35:27,469672453,"test","2_47","prime_negative",3,52,1,1975,"include"
"273","23.06.22",12:35:27,469672453,"test","2_48","prime_positive",3,60,0,776,"include"
"274","23.06.22",12:35:27,469672453,"test","2_49","prime_negative",2,27,1,2417,"include"
"275","23.06.22",12:35:27,469672453,"test","2_50","prime_positive",1,34,0,345,"include"
"276","23.06.22",12:35:27,469672453,"test","2_51","prime_negative",4,40,1,677,"include"
"277","23.06.22",12:35:27,469672453,"test","2_52","prime_negative",2,2,1,960,"include"
"278","23.06.22",12:35:27,469672453,"test","2_53","prime_positive",2,28,0,512,"include"
"279","23.06.22",12:35:27,469672453,"test","2_54","prime_positive",3,21,0,404,"include"
"280","23.06.22",12:35:27,469672453,"test","2_55","prime_negative",4,25,1,736,"include"
"281","23.06.22",12:35:27,469672453,"test","2_56","prime_positive",4,58,1,322,"include"
"282","23.06.22",12:35:27,469672453,"test","2_57","prime_negative",3,10,0,579,"include"
"283","23.06.22",12:35:27,469672453,"test","2_58","prime_positive",1,14,0,1290,"include"
"284","23.06.22",12:35:27,469672453,"test","2_59","prime_positive",1,24,0,347,"include"
"285","23.06.22",12:35:27,469672453,"test","2_60","prime_negative",1,30,1,776,"include"
"286","23.06.22",12:35:27,469672453,"test","2_61","prime_positive",2,43,0,465,"include"
"287","23.06.22",12:35:27,469672453,"test","2_62","prime_positive",4,16,1,458,"include"
"288","23.06.22",12:35:27,469672453,"test","2_63","prime_negative",3,11,1,4233,"include"
"289","23.06.22",12:35:27,469672453,"test","2_64","prime_positive",3,58,0,536,"include"
"290","23.06.22",12:35:27,469672453,"test","2_65","prime_positive",1,31,0,443,"include"
"291","23.06.22",12:35:27,469672453,"test","2_66","prime_negative",2,54,1,888,"include"
"292","23.06.22",12:35:27,469672453,"test","2_67","prime_negative",1,3,0,388,"include"
"293","23.06.22",12:35:27,469672453,"test","2_68","prime_negative",4,68,0,1888,"include"
"294","23.06.22",12:35:27,469672453,"test","2_69","prime_positive",4,70,1,954,"include"
"295","23.06.22",12:35:27,469672453,"test","2_70","prime_negative",2,7,0,475,"include"
"296","23.06.22",12:35:27,469672453,"test","2_71","prime_positive",3,43,0,396,"include"
"297","23.06.22",12:35:27,469672453,"test","2_72","prime_positive",2,21,0,499,"include"
"298","23.06.22",12:35:27,469672453,"test","2_73","prime_positive",1,22,0,340,"include"
